case_id,age,monthly_income,work_years,existing_debt,overdue_count,asset_proof_count,amount,term_months,purpose,debt_income_ratio,ground_truth_risk
CASE_0001,67,6494.44,8,8884.4,2,3,1169,6,radio television,0.114,LOW
CASE_0002,22,2479.58,2,16067.7,0,2,5951,48,radio television,0.54,HIGH
CASE_0003,49,3493.33,5,5659.2,2,2,2096,12,education,0.135,LOW
CASE_0004,45,3753.33,5,21281.4,0,2,7882,42,furniture equipment,0.4725,LOW
CASE_0005,53,5534.09,2,31655.0,1,0,4870,24,new car,0.4767,HIGH
CASE_0006,35,5030.56,2,24448.5,0,1,9055,36,education,0.405,LOW
CASE_0007,53,3221.59,8,9213.75,0,3,2835,24,furniture equipment,0.2383,LOW
CASE_0008,35,3860.0,2,18759.6,0,1,6948,36,used car,0.405,LOW
CASE_0009,61,5098.33,5,8259.3,0,4,3059,12,radio television,0.135,LOW
CASE_0010,28,5815.56,0,39778.4,2,1,5234,30,new car,0.57,HIGH
CASE_0011,25,2943.18,0.5,4208.75,0,1,1295,12,new car,0.1192,HIGH
CASE_0012,24,2447.73,0.5,14001.0,0,2,4308,48,business,0.4767,HIGH
CASE_0013,22,2238.57,2,3369.05,0,1,1567,12,radio television,0.1254,LOW
CASE_0014,60,1800.0,8,9112.4,2,1,1199,24,new car,0.4219,HIGH
CASE_0015,28,1870.67,2,3788.1,0,1,1403,15,new car,0.1687,LOW
CASE_0016,32,1800.0,2,4871.6,0,2,1282,24,radio television,0.2255,HIGH
CASE_0017,53,3366.67,8,18422.4,2,3,2424,24,radio television,0.456,LOW
CASE_0018,25,5381.33,0.5,65383.2,0,2,8072,30,business,1.0125,LOW
CASE_0019,44,17470.83,8,47800.2,0,0,12579,24,used car,0.228,HIGH
CASE_0020,31,3897.73,8,11147.5,0,2,3430,24,radio television,0.2383,LOW
CASE_0021,48,7903.7,2,24327.6,2,1,2134,9,new car,0.2565,LOW
CASE_0022,44,8823.33,2,7146.9,0,3,2647,6,radio television,0.0675,LOW
CASE_0023,48,3841.71,0.5,9636.3,2,2,2241,10,new car,0.209,LOW
CASE_0024,44,4100.0,0.5,5863.0,2,3,1804,12,used car,0.1192,LOW
CASE_0025,26,4138.0,2,11172.6,2,2,2069,10,furniture equipment,0.225,LOW
CASE_0026,36,3925.71,2,2954.1,0,2,1374,6,furniture equipment,0.0627,LOW
CASE_0027,39,2366.67,8,1618.8,0,1,426,6,radio television,0.057,LOW
CASE_0028,42,1800.0,2,2658.5,0,4,409,12,radio television,0.1231,LOW
CASE_0029,34,9409.09,2,7848.75,0,2,2415,7,radio television,0.0695,LOW
CASE_0030,63,3107.27,8,44434.0,1,0,6836,60,business,1.1917,HIGH
CASE_0031,36,2898.48,0.5,6217.25,0,4,1913,18,business,0.1788,LOW
CASE_0032,27,3350.0,2,10854.0,0,1,4020,24,furniture equipment,0.27,LOW
CASE_0033,30,6517.78,2,31676.4,0,2,5866,18,new car,0.405,LOW
CASE_0034,57,3511.11,8,4803.2,2,1,1264,12,business,0.114,LOW
CASE_0035,33,4094.44,0.5,5601.2,0,2,1474,12,furniture equipment,0.114,LOW
CASE_0036,25,3515.56,0.5,36069.6,2,2,4746,45,radio television,0.855,HIGH
CASE_0037,31,2182.14,2,13136.5,2,0,6110,48,education,0.5017,LOW
CASE_0038,37,3888.89,2,7980.0,0,2,2100,18,radio television,0.171,HIGH
CASE_0039,37,2450.0,2,3307.5,0,1,1225,10,domestic appliances,0.1125,LOW
CASE_0040,24,1800.0,2,1740.4,0,2,458,9,radio television,0.0806,LOW
CASE_0041,30,2592.22,8,8865.4,0,2,2333,30,radio television,0.285,LOW
CASE_0042,26,2631.82,2,3763.5,0,2,1158,12,radio television,0.1192,LOW
CASE_0043,44,6893.33,2,16750.8,1,2,6204,18,repairs,0.2025,LOW
CASE_0044,24,3535.43,5,26604.1,2,2,6187,30,used car,0.6271,LOW
CASE_0045,58,4265.97,8,46686.8,2,0,6143,48,used car,0.912,HIGH
CASE_0046,35,4221.21,0.5,10586.8,2,1,1393,11,new car,0.209,LOW
CASE_0047,39,2128.7,8,8736.2,0,2,2299,36,radio television,0.342,LOW
CASE_0048,23,3862.86,0,2906.8,0,3,1352,6,used car,0.0627,LOW
CASE_0049,39,11264.42,2,31080.4,2,2,7228,11,new car,0.2299,LOW
CASE_0050,28,5758.33,2,7877.4,0,3,2073,12,radio television,0.114,LOW
